"","x"
"1",10588.9
"2",9937.1
"3",14080.1
"4",13230
"5",13547.4
"6",16721.7
"7",11451.4
"8",12413.4
"9",11465.5
"10",11896.7
"11",17773
"12",9756.4
"13",14422.3
"14",12493.3
"15",13674.2
"16",10600.62
"17",8746.7
"18",12920.9
"19",11936.3
"20",15246.8
"21",9675.2
"22",13041
"23",8076.1
"24",8076.1
"25",11680.11
"26",14309.07
"27",8300.5
"28",1021.4
"29",8542.8
"30",8542.8
"31",12651.1
"32",11982.4
"33",11982.4
"34",4563
"35",12365.5
"36",7217.7
"37",8295.2
"38",8295.2
